OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
001	0	GX013128.MP4	24352	13.54242	A	0.21911	1324.75248	401.58416	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	M	Passing	think about 1100-1200		
001	1	GX013128.MP4	24352	13.54242	A	0.21911	1381.78218	493.06931	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	2	GX013128.MP4	24560	13.65809	A	0.33478	1587.96040	373.95600	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	3	GX013128.MP4	24678	13.72371	A	0.40040	1121.06931	438.92519	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	4	GX013128.MP4	24731	13.75318	A	0.42987	1627.72277	306.53465	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	M	Passing			
001	5	GX013128.MP4	24748	13.76264	A	0.43933	1355.64356	203.16832	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	6	GX013128.MP4	25098	13.95728	A	0.63397	952.87129	393.26733	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	7	GX013128.MP4	25098	13.95728	A	0.63397	1185.74257	381.38614	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	8	GX013128.MP4	25638	14.25758	A	0.93427	1694.25743	198.41584	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	9	GX013128.MP4	25902	14.40439	A	1.08108	1224.95050	358.81188	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	10	GX013128.MP4	26047	14.48503	A	1.16172	942.17822	216.23762	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	11	GX013128.MP4	26047	14.48503	A	1.16172	1791.68317	124.75248	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	12	GX013128.MP4	26205	14.57289	A	1.24958	1789.30693	424.15842	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	13	GX013128.MP4	26606	14.79589	A	1.47258	1271.28713	350.49505	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	14	GX013128.MP4	27140	15.09286	A	1.76955	983.76238	394.45545	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	15	GX013128.MP4	27796	15.45766	A	2.13435	199.45545	398.57756	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0500-0699 mm	Passing			
001	16	GX013128.MP4	27796	15.45766	A	2.13435	1450.69307	305.34653	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0300-0499 mm	Passing			
001	17	GX013128.MP4	28282	15.72793	A	2.40462	1461.05941	244.73707	0.00000	0.00000	Labridae	Achoerodus	gouldii	37384002	1	0900-1099 mm	Passing			
001	18	GX013128.MP4	28282	15.72793	A	2.40462	1024.15842	573.86139	0.00000	0.00000					1	AD	Passing	here		
